Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id,tissue_type,Isolation_source
ERR1924580,OTHER,198,683117248,PRJEB20380,SAMEA103972802,454381928,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982307,SAMEA103972802,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:24:50Z,public,Illumina HiSeq 2000,Sample15_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:06:00Z,1,SAMEA103972802,NJ1 - mobilome15,ERP022529,NJ1 - mobilome15,cecum,urban sewer
ERR1924581,OTHER,198,382015841,PRJEB20380,SAMEA103972802,248054631,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982308,SAMEA103972802,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:24:50Z,public,Illumina HiSeq 2000,Sample15_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:05:00Z,1,SAMEA103972802,NJ1 - mobilome15,ERP022529,NJ1 - mobilome15,cecum,urban sewer
ERR1924583,OTHER,198,108176685,PRJEB20380,SAMEA103972802,67869755,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq,fastq","s3,gs,ncbi,ena","ncbi.public,s3.us-east-1,gs.US,ena",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982310,SAMEA103972802,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:24:50Z,public,Illumina HiSeq 2000,Sample15_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-17T06:55:00Z,2,SAMEA103972802,NJ1 - mobilome15,ERP022529,NJ1 - mobilome15,cecum,urban sewer
ERR1924584,OTHER,199,733550853,PRJEB20380,SAMEA103972803,472117313,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-10-02,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982311,SAMEA103972803,Denmark,Europe,Denmark,Thisted,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample16_1_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:05:00Z,1,SAMEA103972803,NJ2 - mobilome16,ERP022529,NJ2 - mobilome16,cecum,urban sewer
ERR1924585,OTHER,198,199160406,PRJEB20380,SAMEA103972803,125204937,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-10-02,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","gs.US,s3.us-east-1,ena,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982312,SAMEA103972803,Denmark,Europe,Denmark,Thisted,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample16_2_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-15T05:48:00Z,2,SAMEA103972803,NJ2 - mobilome16,ERP022529,NJ2 - mobilome16,cecum,urban sewer
ERR1924586,OTHER,199,684671417,PRJEB20380,SAMEA103972803,437004396,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-10-02,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982313,SAMEA103972803,Denmark,Europe,Denmark,Thisted,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample16_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:05:00Z,1,SAMEA103972803,NJ2 - mobilome16,ERP022529,NJ2 - mobilome16,cecum,urban sewer
ERR1924589,OTHER,199,146395362,PRJEB20380,SAMEA103972804,91297404,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra,fastq","gs,ena,ncbi,s3","s3.us-east-1,ena,gs.US,ncbi.public",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982316,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-23T09:45:00Z,2,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
ERR1924590,OTHER,199,745700562,PRJEB20380,SAMEA103972804,476488493,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982317,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_4_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:04:00Z,1,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
ERR1924591,OTHER,199,454750061,PRJEB20380,SAMEA103972804,280686977,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013,public,"sra,run.zq,fastq","ncbi,gs,s3,ena","s3.us-east-1,gs.US,ncbi.public,ena",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982318,SAMEA103972804,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample18_5_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2022-07-20T11:08:00Z,2,SAMEA103972804,NJ3 - mobilome18,ERP022529,NJ3 - mobilome18,cecum,urban sewer
ERR1924594,OTHER,197,688494407,PRJEB20380,SAMEA103972805,452900688,"UNIVERSITY OF COPENHAGEN, FACULTY OF SCIENCE, DEPA",2013-08-28,public,"run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2017-08-01,2017-08-01,2018-11-16,2017-05-23,ERX1982321,SAMEA103972805,Denmark,Europe,Denmark,Northern Jutland,KU-SCIENCE,"University of Copenhagen\, Faculty of Science\, Department of Biology",2017-08-01T17:01:53Z,2017-05-23T15:23:37Z,public,Illumina HiSeq 2000,Sample19_3_paired.Q20,PAIRED,RANDOM,METAGENOMIC,rat gut metagenome,ILLUMINA,2017-08-02T00:00:00Z,2017-08-21T21:04:00Z,1,SAMEA103972805,NJ4 - mobilome19,ERP022529,NJ4 - mobilome19,cecum,urban sewer
